industry,N,mean,std,skew,kurt,min,p1,p5,p25,p50,p75,p95,p99,max
"Agriculture, Forestry, Fishing",3313.0,0.8131313254377124,1.6202039030976167,0.48154640739247384,9.512950757713313,-11.019683114249583,-3.1909461744886323,-1.2596758294800352,0.06950029658356843,0.7026093367024645,1.4550859036490313,3.1894650049662183,6.120930953398957,12.8035278017003
Construction,14448.0,1.408685452352944,1.6909682470737295,0.8556204869884555,13.312763714330723,-11.440318416589797,-3.0402893847241863,-0.768006732492963,0.5498274545515752,1.3399266976578021,2.150959767103809,3.9069223708731498,6.434594964859437,22.911055959720954
"Finance, Insurance, Real Estate",50013.0,0.8089244078481519,1.1600210500520547,0.5894235782188514,9.626787967470346,-14.75259272758604,-2.044806570394125,-0.664660642095219,0.1742570849643045,0.7151818273951013,1.3282129032319145,2.642239430890853,4.414980355756333,11.35945968475649
Manufacturing,72707.0,1.1994431874783316,1.7180026020077641,0.5641028996330298,14.777856978220722,-22.91387370796424,-3.15018944469676,-1.048073657735104,0.37457424333325084,1.090348249204919,1.9139297137254492,3.861483895658371,6.4283011205876015,28.652230323493768
Mining,29666.0,1.4443890824922077,2.3238598375817627,-0.8642138494248569,52.06559144303036,-62.181159871578906,-3.8820824130728573,-1.322188004027179,0.37237624908955563,1.2904374912692707,2.323316825455863,4.783753822889736,8.837395264162762,30.998540482077672
Other,1016.0,0.8959197322076049,1.9001893732573627,-0.6310462448401639,7.527903868712709,-11.870358329734247,-5.737883325591596,-1.6612875486229877,0.04601201726370375,0.730493972950629,1.8150711847390402,3.5734651959734816,6.505598225544221,9.685893878428688
Public Administration,11605.0,1.1808868392681224,2.3630059738403424,0.9165054139071351,17.808227498092386,-23.723718812931438,-5.515660483214433,-1.9002927289475966,0.13227624863811716,1.0259464605020443,2.068078064409287,4.753965321869523,8.047179222917592,33.34420929389313
Retail Trade,39242.0,1.13712282982186,1.646183999315161,3.33545396634182,76.55884312542871,-14.430545850104647,-2.680380444386979,-0.9728181753040372,0.33311884104148404,1.019254254414399,1.8243585690536088,3.5254898252011992,5.869749419990296,45.837794144588905
Services,43546.0,1.351084475961737,2.0969500930342626,2.736109242665966,96.56372485818434,-44.88329204737926,-3.324050935989791,-1.1128908393698569,0.39104974837934064,1.1753821478067898,2.125909014721193,4.427468348290318,7.342316324186416,68.26817139161629
Transportation & Utilities,42100.0,0.9306282069495437,1.4224509745515956,1.0715711747433616,19.50069982001968,-24.696784252392735,-2.34042568466228,-0.6856650945738152,0.20769335902217526,0.7403713178295397,1.452880840249633,3.203885630307203,5.739386194581481,21.707221101604485
Unknown,93.0,1.7180479853809185,2.598950935199236,1.3985527434718483,1.2443405425649519,-3.8689741845110253,-0.31424539697106557,0.002525748353183624,0.037396238886069876,0.1226847024610251,2.338077945798588,7.78722816903735,8.30136421417716,8.720197238830114
Wholesale Trade,29472.0,1.1951137271581571,1.7500848767827244,1.6435527580210574,31.499678078496988,-21.415272335509624,-3.0008184700914233,-0.9246566961057102,0.36716571181535895,1.0807790305248763,1.8822658217917572,3.721114438688513,6.353943938900547,33.180614965305104
