portfolio,avg_ret_ew,avg_ret_vw,avg_ivol_at_formation,avg_n_stocks
1,0.00790459929771807,0.006952179878292417,0.04983602085978462,201.404984423676
2,0.008120630274603177,0.009387213059188597,0.07419673068381705,200.82554517133957
3,0.007959333652276586,0.012379032571866243,0.09968122983907231,200.77881619937693
4,0.00817838315349335,0.017618889947973344,0.13711478437336957,200.82554517133957
5,0.024351564178121458,0.03501459816619311,0.2518277538482663,201.23052959501558
