date,quintile,ret_ew,ret_vw,avg_beta,n_stocks
2012-11-30,5,-0.00784374384236453,-0.00433100852124778,2.6060568565158553,204
2012-12-31,1,0.016194643564356435,-0.006861955307103672,0.13826635637813456,204
2012-12-31,2,0.023330782178217824,0.009433177602588393,0.7249604626286101,204
2012-12-31,3,0.034027364532019704,0.02456233874301414,1.1388893367881212,204
2012-12-31,4,0.04578667647058823,0.03627771203207593,1.6377559042907093,204
2012-12-31,5,0.04377997014925373,0.08022140743863652,2.658460577983516,204
2013-01-31,1,0.03267743137254902,0.04343168876000836,0.16985697705837963,205
2013-01-31,2,0.04606728431372549,0.045809479467062875,0.7564451510360264,204
2013-01-31,3,0.06392896078431373,0.06970374947601249,1.1590825593562197,204
2013-01-31,4,0.08888560098522169,0.08982113345019468,1.6385660079700353,204
2013-01-31,5,0.15351911386138617,0.10257526549041215,2.6718495761343988,204
2013-02-28,1,0.019197720588235295,0.013438322782203065,0.16377466750551198,204
2013-02-28,2,0.01665433497536946,0.024396767658756098,0.755290437151065,204
2013-02-28,3,0.020100133004926107,0.03053052596806518,1.160001767195224,204
2013-02-28,4,-0.0014641225490196056,0.0011281352467544898,1.6327351070335958,204
2013-02-28,5,-0.004240044334975371,-0.014239191751835892,2.6688484318684287,204
2013-03-28,1,,0.0,0.16377466750551198,204
2013-03-28,2,,0.0,0.7563350977278753,203
2013-03-28,3,,0.0,1.1618611704853048,204
2013-03-28,4,,0.0,1.6339474103511054,203
2013-03-28,5,,0.0,2.6688484318684287,204
2013-04-30,1,0.00619051724137931,0.041039295561133976,0.15489229675341426,204
2013-04-30,2,0.002632931034482758,0.022376601971188414,0.7503125266131035,203
2013-04-30,3,0.015167054187192117,0.015848062420913453,1.1591196714156373,204
2013-04-30,4,-0.0006069207920792073,0.009986613069726012,1.6255546402148684,203
2013-04-30,5,-0.0016006798029556655,0.024318629977618102,2.665231559888806,204
2013-05-31,1,-0.0006402970297029704,-0.027301719058344356,0.14995419378929045,204
2013-05-31,2,0.03473625247524753,0.0255471029730948,0.7671163674847016,203
2013-05-31,3,0.0519094630541872,0.05403792562502156,1.169917139359795,203
2013-05-31,4,0.05907399014778325,0.044975667033180254,1.6376287303850212,203
2013-05-31,5,0.0712015198019802,0.08228315599542455,2.6777884277912922,203
2013-06-28,1,,0.0,0.1572464170653708,203
2013-06-28,2,,0.0,0.7692198510748132,202
2013-06-28,3,,0.0,1.1731256625149047,202
2013-06-28,4,,0.0,1.6413891733145713,202
2013-06-28,5,,0.0,2.6814270441931494,202
2013-07-31,1,0.048545891089108915,0.04097926125108901,0.18996678992119012,202
2013-07-31,2,0.05483697014925373,0.0533729700184396,0.7957051127249918,201
2013-07-31,3,0.07651595500000001,0.07298066609356055,1.196037964205798,202
2013-07-31,4,0.08106772636815919,0.0640308205254983,1.6414239916064128,201
2013-07-31,5,0.10084011,0.08337609556749997,2.642158406270655,202
2013-08-30,1,,0.0,0.1881366179100317,201
2013-08-30,2,,0.0,0.7935495158317286,201
2013-08-30,3,,0.0,1.1961624874094734,201
2013-08-30,4,,0.0,1.6414239916064128,201
2013-08-30,5,,0.0,2.638290036723354,201
2013-09-30,1,0.044597784999999994,0.026801612832350958,-0.004284343674711014,202
2013-09-30,2,0.04368375124378109,0.03934333889703799,0.7281938114197121,201
2013-09-30,3,0.06072723880597016,0.058910013610960515,1.1461013969248113,201
2013-09-30,4,0.05806686069651741,0.045743735282822454,1.6338119372923228,201
2013-09-30,5,0.07603328,0.05436605756115917,2.7885551623912943,201
2013-10-31,1,0.0016709402985074621,0.02411506562795493,-0.09907220959156852,202
2013-10-31,2,0.022364980099502486,0.05462227092339155,0.6654244273550584,201
2013-10-31,3,0.03979244,0.0456650982130551,1.1200175117909568,201
2013-10-31,4,0.04368418905472637,0.05261981513466638,1.6054154950865809,201
2013-10-31,5,0.037589785,0.03203158540940936,2.9099286433736498,201
2013-11-29,1,,0.0,-0.10177360780452054,201
2013-11-29,2,,0.0,0.6632192409618891,201
2013-11-29,3,,0.0,1.1186258009650547,201
2013-11-29,4,,0.0,1.6054154950865809,201
2013-11-29,5,,0.0,2.9099286433736498,201
2013-12-31,1,0.018253804020100503,0.008209526759482439,-0.1426886758538312,201
2013-12-31,2,0.022264830845771143,0.034491767670519355,0.6633954221867843,201
2013-12-31,3,0.025077236180904523,0.033627221318569545,1.1137951382162439,200
2013-12-31,4,0.038036281407035175,0.019842582176764247,1.6248538005771198,201
2013-12-31,5,0.028216502487562186,0.018685931846552775,2.881445583066257,201
2014-01-31,1,0.052128110552763826,0.025483410326709238,-0.1715249485236182,201
2014-01-31,2,-0.021127570000000002,-0.012337213886822055,0.6668134598960107,201
2014-01-31,3,-0.024494854999999996,-0.017307431698030326,1.087636294118148,200
2014-01-31,4,-0.05847490547263681,-0.059025679119237624,1.575985623118262,201
2014-01-31,5,-0.055218303482587064,-0.0649067923008314,2.5938536603921216,201
2014-02-28,1,0.015436954545454547,0.02930116892493735,-0.3241385986218488,202
2014-02-28,2,0.02844763366336634,0.026615949432255648,0.6453512337807801,202
2014-02-28,3,0.03451029353233831,0.04841545491186448,1.0535194310198126,201
2014-02-28,4,0.04768170646766169,0.06818620841998035,1.5339380461180743,202
2014-02-28,5,0.0825000447761194,0.07953305578088843,2.5271297394333936,202
2014-03-31,1,0.0016817562189054723,0.018816698136100953,-0.30608460431856577,203
2014-03-31,2,0.004609584158415841,0.005759193012482641,0.6480028679174685,202
2014-03-31,3,0.01218940594059406,-0.015270196518841754,1.0695519136668006,202
2014-03-31,4,0.010630004950495051,0.00804734383768536,1.5494272065839607,202
2014-03-31,5,-0.009609079601990048,-0.0008052775573135604,2.545840185049075,202
2014-04-30,1,-0.017295579207920794,0.027635559717075202,-0.27815066217753276,205
2014-04-30,2,-0.023476581280788177,-0.019614224177258673,0.6784003281813529,204
2014-04-30,3,-0.02830820197044335,0.000422987095966989,1.0856758768650148,205
2014-04-30,4,-0.02864451724137931,0.00337335183174633,1.5703259443292235,204
2014-04-30,5,-0.04966213300492611,-0.004302597134525798,2.5958367816200374,205
2014-05-30,1,,0.0,-0.270525920344471,204
2014-05-30,2,,0.0,0.6783151606734881,203
2014-05-30,3,,0.0,1.0866900556481325,203
2014-05-30,4,,0.0,1.5702123136868298,203
2014-05-30,5,,0.0,2.5985107474407654,204
2014-06-30,1,0.03880529556650246,0.026112950081777376,-0.5207702016849145,206
2014-06-30,2,0.04092906341463415,0.019181483637123124,0.6720670055127171,205
2014-06-30,3,0.048254243902439015,0.026645320821119332,1.1708339907988576,205
2014-06-30,4,0.0624847512195122,0.05268429429109195,1.6947849225685876,205
2014-06-30,5,0.056710482926829266,0.06248368180429055,2.911247489303167,206
2014-07-31,1,-0.006455336633663366,0.003773398958957247,-0.28767852567582985,207
2014-07-31,2,-0.0347975145631068,-0.015871501339059676,0.7941050287723495,206
2014-07-31,3,-0.04936503864734299,-0.036119258719834665,1.2643250710337408,207
2014-07-31,4,-0.07063445145631067,-0.041710668510216875,1.7541617024935154,206
2014-07-31,5,-0.10120553170731705,-0.07279941629184788,2.8934770364650246,207
2014-08-29,1,,0.0,-0.2761556780941215,206
2014-08-29,2,,0.0,0.7985673139407912,206
2014-08-29,3,,0.0,1.2667055699335594,205
2014-08-29,4,,0.0,1.7541617024935154,206
2014-08-29,5,,0.0,2.8888198932033466,206
2014-09-30,1,0.023469195121951218,0.008935905020448854,-0.15443387010658832,207
2014-09-30,2,-0.030479062801932365,-0.00704235039003101,0.8684077674770533,207
2014-09-30,3,-0.03783005314009663,-0.0313617132978833,1.3060684225322878,207
2014-09-30,4,-0.0694101268292683,-0.052194830278677745,1.7930878752315345,207
2014-09-30,5,-0.12218588235294119,-0.08826337189941008,2.956626825156368,207
2014-10-31,1,0.020742916666666666,0.026854211765971026,-0.1822541494804732,207
2014-10-31,2,0.02969428502415459,0.036666272295256125,0.8759258511402799,207
2014-10-31,3,0.03821530097087379,0.029477244612163535,1.3412673221882285,206
2014-10-31,4,0.028761058252427182,0.002520364822286238,1.8279123242307345,207
2014-10-31,5,0.016660067961165044,-0.008485381253873077,3.023953152584506,207
2014-11-28,1,,0.0,-0.17741478421782025,206
2014-11-28,2,,0.0,0.8770799379376641,206
2014-11-28,3,,0.0,1.3412673221882285,206
2014-11-28,4,,0.0,1.8264431951986115,206
2014-11-28,5,,0.0,3.0200314822085343,206
2014-12-31,1,0.03250809803921569,0.024404128112070416,-0.18499177856519453,206
2014-12-31,2,0.02529081067961165,0.012238321043377819,0.8465019256471346,206
2014-12-31,3,0.023826131707317077,0.020603579049648643,1.3160144455105747,205
2014-12-31,4,0.0019340048780487795,0.005140222875099267,1.7990110046494605,206
2014-12-31,5,-0.023686326829268297,-0.01224302941147573,2.9708682506383646,206
2015-01-30,1,,0.0,-0.1781075329484957,205
2015-01-30,2,,0.0,0.8502394262774235,205
2015-01-30,3,,0.0,1.317556978460709,204
2015-01-30,4,,0.0,1.800771578668543,205
2015-01-30,5,,0.0,2.975300904247845,205
2015-02-27,1,,0.0,-0.3552650906374227,204
2015-02-27,2,,0.0,0.8137082334289005,203
2015-02-27,3,,0.0,1.298070030031678,203
2015-02-27,4,,0.0,1.8262046858698489,203
2015-02-27,5,,0.0,2.9813106064649837,203
2015-03-31,1,0.02458991133004926,0.0012081925322521316,-0.34351469270690926,204
2015-03-31,2,0.01447887745098039,-0.003706819791977632,0.7848028280062781,204
2015-03-31,3,0.010209089108910894,-0.013536993199463386,1.256031585914712,203
2015-03-31,4,-0.0012919656862745087,-0.005834836944073407,1.74872659063322,204
2015-03-31,5,-0.044553,-0.002914560913324728,2.927365347722063,204
2015-04-30,1,-0.004376406862745098,-0.019236680548064322,-0.37638917286227785,205
2015-04-30,2,-0.012899397058823531,-0.005774330007514078,0.7910401374489331,204
2015-04-30,3,-0.007765000000000001,0.01865349944515217,1.2604121941861404,204
2015-04-30,4,-0.004133446078431372,0.020855417612545578,1.7510541252327119,204
2015-04-30,5,0.02645511274509804,0.020205792694778856,2.912315482385386,205
2015-05-29,1,,0.0,-0.3786698111561063,204
2015-05-29,2,,0.0,0.7910401374489331,204
2015-05-29,3,,0.0,1.2609923471297666,204
2015-05-29,4,,0.0,1.7540094849060628,204
2015-05-29,5,,0.0,2.9163390325028424,204
