industry,N,mean,std,skew,kurt,min,p1,p5,p25,p50,p75,p95,p99,max
"Agriculture, Forestry, Fishing",3024.0,0.8010054331058519,0.9790773963499019,-0.35841738346002194,9.98873215734111,-5.691874626761355,-1.7033205009045824,-0.29990806874591375,0.3402396842317261,0.7137836061251388,1.2036907587294872,2.406282138680944,4.058854720816908,5.5460440144500796
Construction,13822.0,1.3890327044538,0.9676145227592805,1.2188206348551116,7.573713720167623,-3.3905206184080896,-0.6634849512484273,0.023147780690798026,0.8116949096693669,1.3203748658731502,1.875548041316119,3.000105259685585,4.5266090508784105,11.346756878756365
"Finance, Insurance, Real Estate",47736.0,0.8024907002111551,0.6996832084929137,0.9821557446270256,3.2841586839815555,-3.919994382614816,-0.5233675895830147,-0.12729708283333652,0.32662487027214204,0.7196282866790005,1.1752926154680434,2.0645428603037876,2.983699977243006,7.4665295308422035
Manufacturing,70361.0,1.2233229284272442,0.9910922861025303,0.7299467345070975,3.4543007491451543,-5.676537458008917,-0.9228510026330632,-0.09976215873581153,0.6043258814018966,1.1350563590180198,1.713101841718315,2.950377717207142,4.302460562842734,8.822333711046829
Mining,28364.0,1.5391270213691084,1.354409111798268,1.2529785244303655,8.19403971334496,-11.336113140958398,-1.0601519854371908,-0.1011200624953498,0.7326380537576195,1.3856936626082832,2.0975770414261588,3.785423837379016,6.130713697984052,13.649948363698186
Other,803.0,1.1383412020773465,1.3902527358081171,0.31540007049776003,2.6420809907831737,-4.67544518069309,-2.0355260903759773,-0.6940605100031568,0.39818498038650296,0.8983596144839076,1.8371719351000395,3.756984313482193,4.941611110211244,6.449367977297907
Public Administration,10208.0,1.3223230809418176,1.4011193294680289,2.1317168915400213,12.97425048108753,-5.140386996105547,-1.4705658581170897,-0.22046278933519098,0.5153512761120269,1.1503588043671185,1.8550478902046106,3.5938250618834946,6.365495480773233,13.998967806361469
Retail Trade,37882.0,1.1421699553920104,0.9421447762374703,1.197923618903174,7.97135276548388,-5.9526049786767254,-0.7656112559486652,-0.10849089788455754,0.5717974049699992,1.0359136222188916,1.5972902226690668,2.8237191267105537,3.9387645364045283,12.649378209624809
Services,41597.0,1.3807866153720918,1.1254134671372304,1.1192501663644594,5.417061096561533,-6.501368567947046,-0.7931533921553681,-0.05526885372276603,0.7129967999721066,1.2305413450115494,1.877769508300769,3.385739753956822,4.960670869738602,11.712847931593252
Transportation & Utilities,40488.0,0.9262740298172032,0.9163727259769102,1.9482606514901237,9.11588076837661,-4.198192022895447,-0.5943593081136852,-0.12187350670141552,0.36017404663945285,0.7394892624206848,1.309929458786937,2.5164661581007977,4.077294502802434,9.898225636953246
Unknown,57.0,1.2337516594703954,2.5228917897701604,1.4686583461518898,1.2182555386267158,-1.9939951404674738,-1.9939951404674738,-1.5509080603300167,0.014354181840533999,0.05341731334589987,1.8061880619743265,6.929265142167064,7.1311975005635055,7.3268782068427125
Wholesale Trade,28284.0,1.1839522505067432,0.9859132416940576,1.6647526741870236,9.719761005837832,-3.367482989771385,-0.7855304741918271,-0.10947198609947788,0.5988950323639846,1.0940845660571092,1.6252337810427262,2.78783728804287,4.254427222945613,11.171255903178396
