portfolio,avg_ret_ew,avg_ret_vw,avg_ivol_at_formation,avg_n_stocks
1,0.007270403488324015,0.006994117081565059,0.04613451508980745,204.89846153846153
2,0.007561889646925686,0.008496446739717847,0.07024286334365737,204.31384615384616
3,0.006996761608928239,0.011726592423562446,0.09496811237344982,204.32615384615386
4,0.006114676811837574,0.016803861373671222,0.13182564646332615,204.31384615384616
5,0.026817181083705795,0.036800416848516156,0.24647118271269974,204.69846153846154
