industry,year,total_vol_12m_mean,total_vol_12m_std,systematic_vol_12m_mean,systematic_vol_12m_std,idiosyncratic_vol_12m_mean,idiosyncratic_vol_12m_std
Construction,2007,0.10998175305496437,0.0443571595175796,0.05320584872537337,0.033289048661289074,0.0829468019064756,0.039750592733377214
Construction,2008,0.1706990334643888,0.08316366328301371,0.06439895582332432,0.051250794995783645,0.13997405656991377,0.07699547429530965
Construction,2009,0.2418753338979952,0.13946525089134965,0.144788343304874,0.09667702749436696,0.15962836595086877,0.10913698887137234
Construction,2010,0.1758998932510156,0.13520609038652945,0.07886807362528793,0.06825574264461404,0.13661842363425028,0.11506957325989083
Construction,2011,0.14058883083819596,0.07179110080214952,0.08423091444984135,0.04551807537341353,0.0960452852973622,0.059656733916708546
Construction,2012,0.15102174821423664,0.074380938516531,0.10303211504797828,0.05793997009890413,0.08960935085392961,0.0560805176463679
Construction,2013,0.10742191513987015,0.05432119570059518,0.0359072754557249,0.02922472876865709,0.09089503946429316,0.04974862316172108
Construction,2014,0.09310970592558485,0.03672121389520418,0.03670010586396745,0.02598839785189174,0.07586729219718254,0.03307873665715936
Construction,2015,0.10813859028987663,0.06326516576340643,0.040292006575898424,0.0337022565596778,0.0873219872813231,0.05705343840357408
Construction,2016,0.11768424523340335,0.0661958774082424,0.057426361046775565,0.044142042971209036,0.08940876869073838,0.05426506378272451
Construction,2017,0.10418628254398471,0.060201397242119384,0.04194931696369817,0.03380553318263192,0.08516226826214071,0.0528932028674985
Construction,2018,0.11046073528099337,0.09323218024955075,0.03860786117009007,0.034206311796911755,0.09357762224623971,0.08381310935662442
Construction,2019,0.12693118388863825,0.058448455984818744,0.07829710382876078,0.034090548107523856,0.08560135516831059,0.05210263605758193
Construction,2020,0.17710019713437253,0.08875242060511755,0.12088526228275424,0.07481331633481328,0.10353150851717939,0.05943381533476309
Construction,2021,0.14804887510830478,0.12589340130011592,0.0712917698555306,0.08800097729410199,0.11000608372678738,0.0847187681086644
Construction,2022,0.11306897296212112,0.05032629044898163,0.055661486201290925,0.031263861726355445,0.08678804380934592,0.04500317979035115
Construction,2023,0.1384633368107956,0.05135324940220939,0.07867808672691493,0.04218933569870183,0.09336894262938251,0.052764509573656616
"Finance, Insurance, Real Estate",1996,0.07027925371204445,0.05741383920238401,0.023475351574518567,0.027213159079239487,0.05820825558812134,0.04884350396019254
