portfolio,avg_ret_ew,avg_ret_vw,avg_ivol_at_formation,avg_n_stocks
1,0.006400729820323425,0.007084504932007119,0.03705407877236146,205.9878048780488
2,0.006265071190665826,0.008277357472335873,0.06006471334742022,205.4451219512195
3,0.006244311965071141,0.011817245298853123,0.08311306824612447,205.40853658536585
4,0.003975055627255839,0.016188492053230065,0.1174583897636076,205.4451219512195
5,0.031144000609742012,0.03444678754517891,0.229748592482709,205.8262195121951
